event_a,event_b,correlation,mean_abs_delta_db
1782605969288_blow_normal_event2_peak3.548s,1782608212532_failed_blow_event7_peak7.187s,0.452369,13.658934
1782605969288_blow_normal_event2_peak3.548s,1782608212532_failed_blow_event8_peak8.017s,0.701576,10.727894
1782605969288_blow_normal_event2_peak3.548s,1782608683432_failed_blow_event1_peak0.850s,0.953829,7.533866
1782605969288_blow_normal_event3_peak4.710s,1782605956239_blow_close_event1_peak0.926s,0.839194,9.082894
1782605969288_blow_normal_event3_peak4.710s,1782605956239_blow_close_event2_peak2.629s,0.851103,7.506944
1782605969288_blow_normal_event3_peak4.710s,1782605956239_blow_close_event3_peak4.246s,0.836715,8.606647
1782605969288_blow_normal_event3_peak4.710s,1782605976563_blow_normal_event1_peak0.764s,0.920042,6.677990
1782605969288_blow_normal_event3_peak4.710s,1782605976563_blow_normal_event2_peak1.850s,0.868721,7.577955
1782605969288_blow_normal_event3_peak4.710s,1782605976563_blow_normal_event3_peak3.146s,0.902778,7.809182
1782605969288_blow_normal_event3_peak4.710s,1658418658392_blow_close_event1_peak0.904s,0.871747,8.272434
1782605969288_blow_normal_event3_peak4.710s,1658418658392_blow_close_event2_peak2.202s,0.764937,9.903782
1782605969288_blow_normal_event3_peak4.710s,1658418658392_blow_close_event3_peak3.530s,0.662177,12.846456
1782605969288_blow_normal_event3_peak4.710s,1658418658392_blow_close_event4_peak4.943s,0.797696,10.024519
1782605969288_blow_normal_event3_peak4.710s,1658418658392_blow_close_event5_peak6.390s,0.785862,9.189590
1782605969288_blow_normal_event3_peak4.710s,1782608588636_blow_normal_event1_peak3.313s,0.888906,10.355391
1782605969288_blow_normal_event3_peak4.710s,1782608588636_blow_normal_event2_peak4.431s,0.844726,9.938309
1782605969288_blow_normal_event3_peak4.710s,1782608588636_blow_normal_event3_peak5.546s,0.844125,15.990480
1782605969288_blow_normal_event3_peak4.710s,1782608596442_blow_normal_event1_peak1.342s,0.848195,13.112836
1782605969288_blow_normal_event3_peak4.710s,1782608600090_blow_normal_event1_peak1.465s,0.810954,12.774818
1782605969288_blow_normal_event3_peak4.710s,1782608602965_blow_normal_event1_peak1.012s,0.789428,10.930605
1782605969288_blow_normal_event3_peak4.710s,1782608605517_blow_normal_event1_peak1.450s,0.838606,10.461885
1782605969288_blow_normal_event3_peak4.710s,1782608608865_blow_normal_event1_peak1.042s,0.825356,11.805881
1782605969288_blow_normal_event3_peak4.710s,1782608611657_blow_normal_event1_peak1.081s,0.839398,11.431982
1782605969288_blow_normal_event3_peak4.710s,1782608614338_blow_normal_event1_peak0.897s,0.857352,9.773263
1782605969288_blow_normal_event3_peak4.710s,1782608616573_blow_normal_event1_peak1.126s,0.885252,7.035398
1782605969288_blow_normal_event3_peak4.710s,1782608618931_blow_normal_event1_peak0.969s,0.897141,12.117660
1782605969288_blow_normal_event3_peak4.710s,1782608645573_blow_normal_event1_peak1.074s,0.788912,11.295674
1782605969288_blow_normal_event3_peak4.710s,1782608649116_blow_normal_event1_peak0.873s,0.892009,7.275294
1782605969288_blow_normal_event3_peak4.710s,1782608657180_blow_normal_event1_peak1.144s,0.827305,9.698772
1782605969288_blow_normal_event3_peak4.710s,1782608662652_blow_normal_event1_peak1.139s,0.753979,11.817062
1782605969288_blow_normal_event3_peak4.710s,1782608664944_blow_normal_event1_peak0.935s,0.767170,10.884391
1782605969288_blow_normal_event3_peak4.710s,1782608667017_blow_normal_event1_peak1.003s,0.888090,7.685851
1782605969288_blow_normal_event3_peak4.710s,1782608668892_blow_normal_event1_peak1.012s,0.862224,7.979844
1782605969288_blow_normal_event3_peak4.710s,1782608670794_blow_normal_event1_peak0.934s,0.742252,10.667913
1782605969288_blow_normal_event3_peak4.710s,1782608672740_blow_normal_event1_peak0.992s,0.907590,7.852704
1782605969288_blow_normal_event3_peak4.710s,1782608677735_blow_normal_event1_peak0.843s,0.877356,12.686986
1782605969288_blow_normal_event3_peak4.710s,1782608679544_blow_normal_event1_peak0.746s,0.860142,8.275241
1782605969288_blow_normal_event3_peak4.710s,1782605965032_blow_close_event1_peak0.117s,0.277735,22.023510
